date,interest
2005-12-08,3.75
2006-02-09,4
2006-06-08,4.25
2006-08-10,4.5
2007-07-12,4.75
2007-08-09,5
2008-08-07,5.25
2008-10-09,5
2008-10-27,4.25
2008-11-07,4
2008-12-11,3
2009-01-09,2.5
2009-02-12,2
2010-07-09,2.25
2010-11-16,2.5
2011-01-13,2.75
2011-03-10,3
2011-06-10,3.25
2012-07-12,3
2012-10-11,2.75
2013-05-09,2.5
2014-08-14,2.25
2014-10-15,2
2015-03-12,1.75
2015-06-11,1.5
2016-06-09,1.25
2017-11-30,1.5
2018-11-30,1.75
2019-07-18,1.5
2019-10-16,1.25
2020-03-17,0.75
2020-05-28,0.5
2021-08-26,0.75
2021-11-25,1
2022-01-14,1.25
2022-04-14,1.5
2022-05-26,1.75
2022-07-13,2.25
2022-08-25,2.5
2022-10-12,3
2022-11-24,3.25
2023-01-13,3.5
2024-10-11,3.25
